ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
60,RL,68.0,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,3,3,1,6,1,725.0,GasA,Ex,Y,SBrkr,1479,0.0,0.0,2,1,3,1,Gd,6,Typ,0,None,Attchd,2,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,3,2010,WD ,130500
60,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,4,3,1,6,1,913.0,GasA,Ex,Y,SBrkr,2122,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,2,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,4,2009,WD ,220000
20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,3,3,1,6,1,1057.0,GasA,TA,Y,SBrkr,1057,1.0,0.0,1,0,3,1,Gd,5,Typ,0,None,Detchd,1,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,1,2010,WD ,109000
60,RL,73.0,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,4,3,1,1,1,384.0,GasA,Gd,Y,SBrkr,1444,0.0,0.0,2,1,3,1,TA,7,Typ,0,None,BuiltIn,3,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,4,2010,WD ,174000
50,RL,82.0,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,2,4,1,1,1,676.0,GasA,TA,Y,SBrkr,1445,0.0,0.0,2,0,3,1,TA,6,Typ,0,None,Detchd,1,2.0,484.0,3,3,N,0,59,0,0,0,0,0,3,2010,WD ,138500
20,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,3,3,1,5,3,1517.0,GasA,Ex,Y,SBrkr,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,3,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,6,2010,WD ,190000
180,RM,35.0,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,4,3,4,6,1,547.0,GasA,Gd,Y,SBrkr,1072,1.0,0.0,2,0,2,1,TA,5,Typ,0,None,Basment,3,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,6,2006,New,140000
20,RL,68.0,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,3,3,1,3,1,1188.0,GasA,Fa,Y,SBrkr,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,2,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,5,2010,COD,142000
20,RL,68.0,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,3,1,924.0,GasA,TA,Y,SBrkr,924,0.0,0.0,1,0,2,1,TA,6,Typ,0,None,Detchd,1,1.0,420.0,3,3,Y,0,324,0,0,0,0,400,6,2007,WD ,112500
60,RL,70.0,11606,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,4,3,3,3,1,1040.0,GasA,TA,Y,SBrkr,2080,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,9,2007,WD ,135000
