lot_frontage,lot_area,lot_frontage_imputed
,13517,79
43.0,11492,43
68.0,7922,68
73.0,9802,73
82.0,14235,82
137.0,16492,137
35.0,3675,35
,12160,75
,15783,85
70.0,11606,70
21.0,1680,21
64.0,7488,64
120.0,26400,120
24.0,2645,24
74.0,9627,74
93.0,10114,93
34.0,4571,34
80.0,8816,80
71.0,8197,71
72.0,8640,72
109.0,8724,109
40.0,5664,40
103.0,12867,103
,7980,64
100.0,34650,100
92.0,10573,92
65.0,8450,65
,11700,74
75.0,8250,75
60.0,8064,60
80.0,9600,80
,11435,73
30.0,9549,30
60.0,10950,60
79.0,10637,79
80.0,9000,80
41.0,2665,41
105.0,11751,105
80.0,9600,80
60.0,8428,60
75.0,9937,75
107.0,13891,107
,9101,67
81.0,12150,81
70.0,11200,70
100.0,9670,100
60.0,10998,60
60.0,7200,60
80.0,9920,80
36.0,2448,36
,2998,51
65.0,7804,65
80.0,16692,80
21.0,1476,21
75.0,10170,75
80.0,9364,80
24.0,2544,24
82.0,9888,82
68.0,7942,68
,15038,83
92.0,11764,92
75.0,9000,75
,20062,96
81.0,7308,81
70.0,8750,70
70.0,8402,70
63.0,4000,63
32.0,3363,32
94.0,13615,94
43.0,3013,43
44.0,17485,44
,23730,106
79.0,8910,79
24.0,2522,24
73.0,8688,73
,6291,60
,17529,90
60.0,6324,60
80.0,11600,80
50.0,7288,50
35.0,4571,35
63.0,17423,63
100.0,12665,100
60.0,9000,60
32.0,4500,32
48.0,6373,48
67.0,10083,67
70.0,13300,70
80.0,9600,80
30.0,3215,30
,11104,73
,15295,84
70.0,9109,70
64.0,7018,64
,14112,81
80.0,3523,80
88.0,15312,88
74.0,7450,74
60.0,7313,60
83.0,10019,83
53.0,15401,53
58.0,9098,58
103.0,16280,103
72.0,9392,72
71.0,12209,71
79.0,13110,79
,2651,50
60.0,8520,60
,39384,148
36.0,2628,36
57.0,6406,57
,12342,76
52.0,6240,52
87.0,10000,87
,9000,67
80.0,11088,80
134.0,17755,134
,4765,56
,10532,71
65.0,15426,65
63.0,13907,63
70.0,8750,70
,9945,69
56.0,8960,56
50.0,3500,50
,24572,109
74.0,9056,74
70.0,12320,70
60.0,8238,60
75.0,6000,75
24.0,2529,24
60.0,10800,60
24.0,2349,24
32.0,10846,32
67.0,5604,67
21.0,1680,21
54.0,6342,54
34.0,4590,34
60.0,18062,60
60.0,12900,60
140.0,19138,140
,8658,66
,6897,61
75.0,9525,75
57.0,12853,57
52.0,6240,52
64.0,7301,64
78.0,12090,78
,8826,66
57.0,8094,57
,10710,71
85.0,16056,85
70.0,8400,70
90.0,11250,90
70.0,7535,70
88.0,12216,88
30.0,3701,30
80.0,9760,80
60.0,9873,60
72.0,10011,72
,25339,111
,8883,67
50.0,3000,50
36.0,2448,36
73.0,7100,73
36.0,2592,36
,5700,58
24.0,2289,24
60.0,12180,60
,7400,63
68.0,8842,68
60.0,8850,60
92.0,9215,92
79.0,9480,79
82.0,11880,82
60.0,10800,60
,7861,64
,11616,74
96.0,10542,96
21.0,1680,21
80.0,8546,80
90.0,7407,90
78.0,10140,78
80.0,14584,80
65.0,8158,65
62.0,7500,62
85.0,10678,85
49.0,15256,49
88.0,14200,88
82.0,12438,82
59.0,16023,59
155.0,20064,155
,9819,69
80.0,10400,80
91.0,11643,91
78.0,11645,78
61.0,7328,61
72.0,7822,72
65.0,9018,65
103.0,13472,103
,1533,47
85.0,11003,85
83.0,10790,83
53.0,7128,53
64.0,7713,64
52.0,6240,52
86.0,22420,86
85.0,15300,85
,3196,51
72.0,9360,72
,11241,73
81.0,9260,81
90.0,7993,90
94.0,9239,94
60.0,10044,60
43.0,3182,43
60.0,7626,60
60.0,7008,60
128.0,12160,128
50.0,6305,50
